time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0.098,1390246187368274,0.0000000000000000012683260112698355
0.099,1390246187368271.3,0.0000000000000000012811373851204584
0.1,1390246187368243.3,0.0000000000000000012939487589681533
0.101,1390246187368240.8,0.0000000000000000013067601328188207
0.10200000000000001,1390246187368231.5,0.0000000000000000013195715066739843
0.10300000000000001,1390246187367795.8,0.000000000000000001332382880524868
0.10400000000000001,1390246187367793.3,0.0000000000000000013451942543719624
0.105,1390246187367785.3,0.0000000000000000013580056282229494
0.106,1390246187367782.8,0.0000000000000000013708170020781813
0.107,1390246187367754.8,0.0000000000000000013836283759293004
0.108,1390246187367751.8,0.0000000000000000013964397497758562
0.109,1390246187367744.3,0.0000000000000000014092511236270133
0.11,1390246187367741.5,0.0000000000000000014220624974823215
0.111,1390246187367632,0.000000000000000001434873871333911
0.112,1390246187367629.3,0.000000000000000001447685245179936
0.113,1390246187367620,0.0000000000000000014604966190313127
0.114,1390246187367591.8,0.0000000000000000014733079928866858
0.115,1390246187367589.3,0.0000000000000000014861193667382458
0.116,1390246187367581.5,0.000000000000000001498930740583795
0.117,1390246187367579,0.000000000000000001511742114435373
0.11800000000000001,1390246187365839,0.0000000000000000015245534882908707
0.11900000000000001,1390246187365836,0.0000000000000000015373648621426078
0.12,1390246187365828.5,0.0000000000000000015501762359877101
0.121,1390246187365825.8,0.0000000000000000015629876098394927
0.122,1390246187365797.8,0.0000000000000000015757989836949937
0.123,1390246187365795,0.000000000000000001588610357546914
0.124,1390246187365787.5,0.0000000000000000016014217313915957
0.125,1390246187365676,0.0000000000000000016142331052470973
0.126,1390246187365673.8,0.000000000000000001627044479099101
0.127,1390246187365665.8,0.0000000000000000016398558529546904
0.128,1390246187365663.3,0.0000000000000000016526672268068318
0.129,1390246187365635.3,0.0000000000000000016654786006510541
0.13,1390246187365632.5,0.0000000000000000016782899745032242
0.131,1390246187365624.8,0.0000000000000000016911013483588639
0.132,1390246187365622,0.0000000000000000017039127222112125
0.133,1390246187365186.5,0.000000000000000001716724096055058
0.134,1390246187365183.8,0.0000000000000000017295354699073815
0.135,1390246187365176,0.0000000000000000017423468437630707
0.136,1390246187365173.5,0.000000000000000001755158217615526
0.137,1390246187365143.8,0.000000000000000001767969591459029
0.138,1390246187365136,0.000000000000000001780780965311498
0.139,1390246187365133.5,0.0000000000000000017935923391672344
0.14,1390246187365024,0.0000000000000000018064037130200134
0.14100000000000001,1390246187365021.3,0.0000000000000000018192150868631952
0.14200000000000002,1390246187365013.8,0.000000000000000001832026460715797
0.14300000000000002,1390246187365010.5,0.0000000000000000018448378345712224
0.14400000000000002,1390246187364982.5,0.0000000000000000018576492084242984
0.145,1390246187364979.8,0.0000000000000000018704605822671724
0.146,1390246187364972.3,0.000000000000000001883271956120768
0.147,1390246187364969.5,0.0000000000000000018960833299757273
0.148,1390246187358010.5,0.0000000000000000019088947038274194
0.149,1390246187358002.8,0.0000000000000000019217060776725425
0.15,1390246187358000.3,0.00000000000000000193451745152405
0.151,1390246187357972.3,0.000000000000000001947328825378247
0.152,1390246187357969.5,0.0000000000000000019601401992328735
0.153,1390246187357962,0.0000000000000000019729515730751847
0.154,1390246187357958.8,0.0000000000000000019857629469302776
0.155,1390246187357849.3,0.0000000000000000019985743207840555
0.156,1390246187357847,0.0000000000000000020113856946354174
0.157,1390246187357839,0.000000000000000002024197068482438
0.158,1390246187357836.5,0.0000000000000000020370084423329583
0.159,1390246187357808.3,0.0000000000000000020498198161860448
0.16,1390246187357799,0.000000000000000002062631190042052
0.161,1390246187357796.5,0.0000000000000000020754425638838634
0.162,1390246187357361,0.0000000000000000020882539377403
0.163,1390246187357358.3,0.000000000000000002101065311593011
0.164,1390246187357350.5,0.0000000000000000021138766854427556
0.165,1390246187357348,0.0000000000000000021266880592915372
0.166,1390246187357319.5,0.0000000000000000021394994331411666
0.167,1390246187357316.8,0.000000000000000002152310806993253
0.168,1390246187357309.3,0.0000000000000000021651221808505266
0.169,1390246187357306.5,0.0000000000000000021779335546918687
0.17,1390246187357197,0.0000000000000000021907449285495396
0.171,1390246187357194.5,0.0000000000000000022035563024012837
0.17200000000000001,1390246187357185,0.0000000000000000022163676762502132
0.17300000000000001,1390246187357157,0.000000000000000002229179050100513
0.17400000000000002,1390246187357154.5,0.000000000000000002241990423949336
0.17500000000000002,1390246187357146.8,0.0000000000000000022548017978006734
0.176,1390246187357144,0.0000000000000000022676131716590927
0.177,1390246187355403.8,0.000000000000000002280424545500019
0.178,1390246187355401,0.0000000000000000022932359193587933
0.179,1390246187355393.5,0.0000000000000000023060472932096584
0.18,1390246187355390.8,0.00000000000000000231885866705785
0.181,1390246187355362.8,0.0000000000000000023316700409095717
0.182,1390246187355360.3,0.0000000000000000023444814147576588
0.183,1390246187355350.8,0.000000000000000002357292788608009
0.184,1390246187355241.5,0.0000000000000000023701041624674775
0.185,1390246187355238.8,0.000000000000000002382915536308058
0.186,1390246187355231,0.0000000000000000023957269101678518
0.187,1390246187355228.3,0.0000000000000000024085382840179134
0.188,1390246187355200.3,0.000000000000000002421349657865416
0.189,1390246187355197.5,0.0000000000000000024341610317184406
0.19,1390246187355189.8,0.000000000000000002446972405565854
0.191,1390246187355187.3,0.0000000000000000024597837794154503
0.192,1390246187354751.5,0.000000000000000002472595153275881
0.193,1390246187354749,0.0000000000000000024854065271160742
0.194,1390246187354741.3,0.0000000000000000024982179009768054
0.195,1390246187354711.5,0.00000000000000000251102927482613
0.196,1390246187354708.8,0.000000000000000002523840648673005
0.197,1390246187354701.3,0.000000000000000002536652022536277
0.198,1390246187354698.5,0.000000000000000002549463396376272
0.199,1390246187354589,0.0000000000000000025622747702375546
0.2,1390246187354586.3,0.000000000000000002575086144086455
0.201,1390246187354578.3,0.00000000000000000258789751793297
0.202,1390246187354575.8,0.0000000000000000026007088917878965
0.203,1390246187354547.8,0.000000000000000002613520265634343
0.20400000000000001,1390246187354545.3,0.0000000000000000026263316394828262
0.20500000000000002,1390246187354537.3,0.0000000000000000026391430133446652
0.20600000000000002,1390246187354534.5,0.0000000000000000026519543871843565
0.20700000000000002,1390246187349590.8,0.000000000000000002664765761046458
0.20800000000000002,1390246187349582.8,0.00000000000000000267757713489471
0.209,1390246187349580.3,0.0000000000000000026903885087406753
0.21,1390246187349552.3,0.0000000000000000027031998825966857
0.211,1390246187349549.8,0.0000000000000000027160112564425796
0.212,1390246187349541.8,0.000000000000000002728822630290447
0.213,1390246187349539,0.000000000000000002741634004153066
0.214,1390246187349429.5,0.000000000000000002754445377992471
0.215,1390246187349426.8,0.000000000000000002767256751855332
0.216,1390246187349419.3,0.000000000000000002780068125702985
0.217,1390246187349416.5,0.0000000000000000027928794995484484
0.218,1390246187349386.8,0.0000000000000000028056908734053994
0.219,1390246187349379,0.0000000000000000028185022472507894
0.22,1390246187349376.5,0.0000000000000000028313136210980858
0.221,1390246187348940.8,0.0000000000000000028441249949614263
0.222,1390246187348938.3,0.0000000000000000028569363688005686
0.223,1390246187348930.5,0.000000000000000002869747742664134
0.224,1390246187348927.8,0.0000000000000000028825591165112312
0.225,1390246187348899.8,0.000000000000000002895370490356337
0.226,1390246187348897,0.0000000000000000029081818642141924
0.227,1390246187348889.3,0.0000000000000000029209932380591133
0.228,1390246187348886.5,0.000000000000000002933804611905878
0.229,1390246187348777.3,0.0000000000000000029466159857698896
0.23,1390246187348767.8,0.0000000000000000029594273596087865
0.231,1390246187348765.3,0.0000000000000000029722387334730068
0.232,1390246187348737.3,0.000000000000000002985050107319586
0.233,1390246187348734.5,0.0000000000000000029978614811641274
0.234,1390246187348727,0.0000000000000000030106728550228333
0.23500000000000001,1390246187348724.3,0.0000000000000000030234842288673174
0.23600000000000002,1390246187346984,0.0000000000000000030362956027135865
0.23700000000000002,1390246187346981.3,0.000000000000000003049106976578223
0.23800000000000002,1390246187346973.5,0.0000000000000000030619183504168916
0.23900000000000002,1390246187346971,0.0000000000000000030747297242817263
0.24,1390246187346943,0.000000000000000003087541098127822
0.241,1390246187346933.5,0.000000000000000003100352471971951
0.242,1390246187346931,0.000000000000000003113163845831438
0.243,1390246187346821.5,0.0000000000000000031259752196755138
0.244,1390246187346818.8,0.0000000000000000031387865935213202
0.245,1390246187346811.3,0.00000000000000000315159796738657
0.246,1390246187346808.5,0.000000000000000003164409341225025
0.247,1390246187346780,0.0000000000000000031772207150904303
0.248,1390246187346777.5,0.0000000000000000031900320889360746
0.249,1390246187346769.8,0.0000000000000000032028434627798187
0.25,1390246187346767,0.0000000000000000032156548366400427
0.251,1390246187346331.5,0.000000000000000003228466210483738
0.252,1390246187346329,0.0000000000000000032412775843291106
0.253,1390246187346319.8,0.00000000000000000325408895819488
0.254,1390246187346291.5,0.0000000000000000032669003320331354
0.255,1390246187346289,0.0000000000000000032797117058990778
0.256,1390246187346281,0.0000000000000000032925230797442983
0.257,1390246187346278.8,0.0000000000000000033053344535876804
0.258,1390246187346169.3,0.000000000000000003318145827448603
0.259,1390246187346166,0.0000000000000000033309572012919385
0.26,1390246187346158.5,0.000000000000000003343768575136904
0.261,1390246187346155.8,0.0000000000000000033565799490031886
0.262,1390246187346127.8,0.000000000000000003369391322841256
0.263,1390246187346125.3,0.000000000000000003382202696707703
0.264,1390246187346117.5,0.000000000000000003395014070552525
0.265,1390246187339158.5,0.000000000000000003407825444395568
0.266,1390246187339155.8,0.0000000000000000034206368182571354
0.267,1390246187339148.3,0.000000000000000003433448192100134
0.268,1390246187339145.5,0.0000000000000000034462595659447165
0.269,1390246187339117.5,0.0000000000000000034590709398114855
0.27,1390246187339114.3,0.000000000000000003471882313649376
0.271,1390246187339106.8,0.0000000000000000034846936875162975
0.272,1390246187339104,0.000000000000000003497505061360745
0.273,1390246187338994.5,0.0000000000000000035103164352034684
0.274,1390246187338992,0.000000000000000003523127809065647
0.275,1390246187338984.3,0.000000000000000003535939182908329
0.276,1390246187338954.5,0.0000000000000000035487505567525504
0.277,1390246187338952,0.000000000000000003561561930619775
0.278,1390246187338944.3,0.0000000000000000035743733044574984
0.279,1390246187338941.5,0.000000000000000003587184678325268
0.28,1390246187338506,0.000000000000000003599996052169361
0.281,1390246187338503.3,0.000000000000000003612807426011781
