time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.0000000000000000000040260000000000005,319999999999999900000000000000000000,100000000000415770000000000000000000000,100000011955797180000000000000000,99999987757265310000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000004148000000000001,319999999999999900000000000000000000,99999998156815180000000000000000000000,100000012307436690000000000000000,99999987397186250000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000000427,319999999999999900000000000000000000,100000000000438290000000000000000000000,100000012659079300000000000000000,99999987037104430000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000004392,319999999999999900000000000000000000,99999998156840830000000000000000000000,100000013010718800000000000000000,99999986677025360000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000045140000000000006,319999999999999900000000000000000000,100000000000463980000000000000000000000,100000013362361410000000000000000,99999986316943540000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000004636,319999999999999900000000000000000000,99999998156864800000000000000000000000,100000013714000920000000000000000,99999985956864480000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000004758,319999999999999900000000000000000000,100000000000487990000000000000000000000,100000014065643530000000000000000,99999985596782650000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000048800000000000004,319999999999999900000000000000000000,99999998156890530000000000000000000000,100000014417283040000000000000000,99999985236703590000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000050020000000000006,319999999999999900000000000000000000,100000000000513640000000000000000000000,100000014768925650000000000000000,99999984876621760000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005124000000000001,319999999999999900000000000000000000,99999998156912000000000000000000000000,100000015120565160000000000000000,99999984516542700000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005246,319999999999999900000000000000000000,100000000000535140000000000000000000000,100000015472207770000000000000000,99999984156460870000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000053680000000000004,319999999999999900000000000000000000,99999998156937670000000000000000000000,100000015823847280000000000000000,99999983796381810000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005490000000000001,319999999999999900000000000000000000,100000000000561050000000000000000000000,100000016175489890000000000000000,99999983436299980000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005612,319999999999999900000000000000000000,99999998156961870000000000000000000000,100000016527129400000000000000000,99999983076220920000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005734,319999999999999900000000000000000000,100000000000585020000000000000000000000,100000016878772000000000000000000,99999982716139100000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000058560000000000005,319999999999999900000000000000000000,99999998156987560000000000000000000000,100000017230411510000000000000000,99999982356060030000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000005978000000000001,319999999999999900000000000000000000,100000000000610680000000000000000000000,100000017582054120000000000000000,99999981995978200000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006100000000000001,319999999999999900000000000000000000,99999998157009100000000000000000000000,100000017933693630000000000000000,99999981635899140000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006222,319999999999999900000000000000000000,100000000000632230000000000000000000000,100000018285336240000000000000000,99999981275817320000000000000000000,0.9999998874648379,0.785877208489073
0.0000000000000000000063440000000000005,319999999999999900000000000000000000,99999998157034750000000000000000000000,100000018636975750000000000000000,99999980915738260000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006466000000000001,319999999999999900000000000000000000,100000000000657880000000000000000000000,100000018988618360000000000000000,99999980555656430000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006588,319999999999999900000000000000000000,99999998157058700000000000000000000000,100000019340257870000000000000000,99999980195577370000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000000671,319999999999999900000000000000000000,100000000000686040000000000000000000000,100000019691900470000000000000000,99999979835495540000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006832,319999999999999900000000000000000000,99999998157085430000000000000000000000,100000020043539980000000000000000,99999979475416480000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000006954000000000001,319999999999999900000000000000000000,100000000000707520000000000000000000000,100000020395182600000000000000000,99999979115334650000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007076000000000001,319999999999999900000000000000000000,99999998157106900000000000000000000000,100000020746822100000000000000000,99999978755255590000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007198000000000001,319999999999999900000000000000000000,100000000000733210000000000000000000000,100000021098464710000000000000000,99999978395173760000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000000732,319999999999999900000000000000000000,99999998157132580000000000000000000000,100000021450104220000000000000000,99999978035094700000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007442,319999999999999900000000000000000000,100000000000757220000000000000000000000,100000021801746830000000000000000,99999977675012870000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007564,319999999999999900000000000000000000,99999998157156580000000000000000000000,100000022153386340000000000000000,99999977314933810000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007686,319999999999999900000000000000000000,100000000000782890000000000000000000000,100000022505028950000000000000000,99999976954851980000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007808,319999999999999900000000000000000000,99999998157182250000000000000000000000,100000022856668460000000000000000,99999976594772920000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000007930000000000001,319999999999999900000000000000000000,100000000000804350000000000000000000000,100000023208311060000000000000000,99999976234691100000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008052000000000001,319999999999999900000000000000000000,99999998157203980000000000000000000000,100000023559950570000000000000000,99999975874612040000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000008174000000000001,319999999999999900000000000000000000,100000000000830280000000000000000000000,100000023911593180000000000000000,99999975514530200000000000000000000,0.9999998874648379,0.785877208489073
