time(s),avg_photon_density,avg_axion_density,avg_neutrino_density,avg_energy_density
0,355102869281965000000000000000,644125962615517300000000000000,99999999999996170000,320000000000032630000000000000000000
0.00000000000000122,16254743287782350000000000000000000000000,24393399126138463000000000000000000000000,99999999999996170000,320000000000032630000000000000000000
0.00000000000000244,18755309418985640000000000000000000000000000000000000,14218932756820100000000000000000000000000000000000000,99999999999996250000,320000000000032630000000000000000000
0.0000000000000036599999999999995,12694991422556782000000000000000000000000000000000000000000000000,15742907560052996000000000000000000000000000000000000000000000000,99939235020796330000,320000000000032630000000000000000000
0.00000000000000488,13614031342449907000000000000000000000000000000000000000000000000000000000000,11432917844171710000000000000000000000000000000000000000000000000000000000000,992605529751708300000000000000,320000000000032630000000000000000000
0.0000000000000061,10245131914895598000000000000000000000000000000000000000000000000000000000000000000000000,11942547948784273000000000000000000000000000000000000000000000000000000000000000000000000,968782997035289000000000000000000000000000,320000000000032630000000000000000000
0.000000000000007319999999999999,10523013396837388000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9187046889611526000000000000000000000000000000000000000000000000000000000000000000000000000000000000,920630217000239200000000000000000000000000000000000000,320000000000027580000000000000000000
0.000000000000008539999999999999,8223633133543621000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9293790896613244000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,891824191832518000000000000000000000000000000000000000000000000000,318905637570803450000000000000000000
0.00000000000000976,8209662881741675000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7347779249992195000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,851833032099172700000000000000000000000000000000000000000000000000000000000000,3288030609673556400000000000000000000000000000
0.00000000000001098,6548142951641482000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7275441872969009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,823311849472045400000000000000000000000000000000000000000000000000000000000000000000000000,3193117334007253500000000000000000000000000000000000000000
0.0000000000000122,6441824968540955000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5829173155060125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,788481279070471300000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3054177526680306600000000000000000000000000000000000000000000000000000
0.00000000000001342,5178658849697620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5709857520087535000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,761441853700857400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2953832098443334000000000000000000000000000000000000000000000000000000000000000000
0.000000000000014639999999999998,5057159366936219000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4603404327041009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,730447318043514200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2830713399874158200000000000000000000000000000000000000000000000000000000000000000000000000000
