time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
75,12250000000000,661693210537140600000000,1582584225369266300000000000000000000,0,0,0
76,12280000000000,655250809373679200000000,1591152997148475700000000000000000000,0,0,0
77,12310000000000,648886623635220400000000,1599556127238529800000000000000000000,0,0,0
78,12340000000000,642599516573206900000000,1607797209188925300000000000000000000,0,0,0
79,12370000000000,636388370666982100000000,1615879750134381000000000000000000000,0,0,0
80,12400000000000,630252087252987200000000,1623807173075182700000000000000000000,0,0,0
81,12430000000000,624189586161985600000000,1631582819092038700000000000000000000,0,0,0
82,12460000000000,618199805364115900000000,1639209949497484700000000000000000000,0,0,0
83,12490000000000,612281700621595600000000,1646691747925793200000000000000000000,0,0,0
84,12520000000000,606434245148883700000000,1654031322363295300000000000000000000,0,0,0
85,12550000000000,600656429280127900000000,1661231707120946800000000000000000000,0,0,0
86,12580000000000,594947260143728400000000,1668295864750915400000000000000000000,0,0,0
87,12610000000000,589305761343838270000000,1675226687908906000000000000000000000,0,0,0
88,12640000000000,583730972648649300000000,1682027001163884400000000000000000000,0,0,0
89,12670000000000,578221949685292000000000,1688699562756804300000000000000000000,0,0,0
90,12700000000000,572777763641202050000000,1695247066309892400000000000000000000,0,0,0
91,12730000000000,567397500971796900000000,1701672142487993400000000000000000000,0,0,0
92,12760000000000,562080263114316900000000,1707977360613425800000000000000000000,0,0,0
93,12790000000000,556825166207685700000000,1714165230235758400000000000000000000,0,0,0
94,12820000000000,551631340818248300000000,1720238202657864400000000000000000000,0,0,0
95,12850000000000,546497931671255700000000,1726198672419570700000000000000000000,0,0,0
96,12880000000000,541424097387953840000000,1732048978740176600000000000000000000,0,0,0
97,12910000000000,536409010228155350000000,1737791406921071700000000000000000000,0,0,0
98,12940000000000,531451855838162570000000,1743428189709650000000000000000000000,0,0,0
99,12970000000000,526551833003919700000000,1748961508625670000000000000000000000,0,0,0
100,13000000000000,521708153409276200000000,1754393495251182200000000000000000000,0,0,0
101,13030000000000,516920041399237450000000,1759726232485103000000000000000000000,0,0,0
102,13060000000000,512186733748098200000000,1764961755763484300000000000000000000,0,0,0
103,13090000000000,507507479432339240000000,1770102054246490500000000000000000000,0,0,0
104,13120000000000,502881539408182500000000,1775149071973067500000000000000000000,0,0,0
105,13150000000000,498308186393696200000000,1780104708984251300000000000000000000,0,0,0
106,13180000000000,493786704655352400000000,1784970822416038300000000000000000000,0,0,0
107,13210000000000,489316389798926500000000,1789749227562709700000000000000000000,0,0,0
108,13240000000000,484896548564652950000000,1794441698911471000000000000000000000,0,0,0
109,13270000000000,480526498626528700000000,1799049971149244000000000000000000000,0,0,0
110,13300000000000,476205568395680760000000,1803575740142425200000000000000000000,0,0,0
111,13330000000000,471933096827703040000000,1808020663890386400000000000000000000,0,0,0
112,13360000000000,467708433233870800000000,1812386363453488600000000000000000000,0,0,0
113,13390000000000,463530937096153100000000,1816674423856337700000000000000000000,0,0,0
114,13420000000000,459399977885931040000000,1820886394966999700000000000000000000,0,0,0
115,13450000000000,455314934886344800000000,1825023792352865600000000000000000000,0,0,0
116,13480000000000,451275197018188000000000,1829088098113838800000000000000000000,0,0,0
117,13510000000000,447280162669266360000000,1833080761693489600000000000000000000,0,0,0
118,13540000000000,443329239527152140000000,1837003200668812300000000000000000000,0,0,0
119,13570000000000,439421844415251960000000,1840856801519190800000000000000000000,0,0,0
120,13600000000000,435557403132121260000000,1844642920375167000000000000000000000,0,0,0
121,13630000000000,431735350293947400000000,1848362883747582500000000000000000000,0,0,0
122,13660000000000,427955129180140500000000,1852017989237654700000000000000000000,0,0,0
123,13690000000000,424216191581955360000000,1855609506228520000000000000000000000,0,0,0
124,13720000000000,420517997654086800000000,1859138676558771600000000000000000000,0,0,0
125,13750000000000,416860015769165300000000,1862606715178497000000000000000000000,0,0,0
126,13780000000000,413241722375096660000000,1866014810788306700000000000000000000,0,0,0
127,13810000000000,409662601855182900000000,1869364126461830600000000000000000000,0,0,0
128,13840000000000,406122146390960500000000,1872655800252145600000000000000000000,0,0,0
129,13870000000000,402619855827700600000000,1875890945782581300000000000000000000,0,0,0
130,13900000000000,399155237542515500000000,1879070652822339600000000000000000000,0,0,0
131,13930000000000,395727806315010640000000,1882195987847350700000000000000000000,0,0,0
132,13960000000000,392337084200431750000000,1885267994586773400000000000000000000,0,0,0
133,13990000000000,388982600405251600000000,1888287694555537800000000000000000000,0,0,0
134,14020000000000,385663891165145560000000,1891256087573317000000000000000000000,0,0,0
135,14050000000000,382380499625304500000000,1894174152270297800000000000000000000,0,0,0
136,14080000000000,379131975723035140000000,1897042846580120000000000000000000000,0,0,0
137,14110000000000,375917876072600230000000,1899863108220327200000000000000000000,0,0,0
138,14140000000000,372737763852250100000000,1902635855160680000000000000000000000,0,0,0
139,14170000000000,369591208693400400000000,1905361986079658000000000000000000000,0,0,0
140,14200000000000,366477786571909900000000,1908042380809473300000000000000000000,0,0,0
141,14230000000000,363397079701415530000000,1910677900769908800000000000000000000,0,0,0
142,14260000000000,360348676428679100000000,1913269389391285600000000000000000000,0,0,0
143,14290000000000,357332171130907060000000,1915817672526851200000000000000000000,0,0,0
144,14320000000000,354347164114998300000000,1918323558854877000000000000000000000,0,0,0
145,14350000000000,351393261518683500000000,1920787840270743000000000000000000000,0,0,0
146,14380000000000,348470075213512940000000,1923211292269275800000000000000000000,0,0,0
147,14410000000000,345577222709658600000000,1925594674317606000000000000000000000,0,0,0
148,14440000000000,342714327062488400000000,1927938730218798000000000000000000000,0,0,0
149,14470000000000,339881016780879660000000,1930244188466496300000000000000000000,0,0,0
150,14500000000000,337076925737235200000000,1932511762590831500000000000000000000,0,0,0
151,14530000000000,334301693079163700000000,1934742151495818300000000000000000000,0,0,0
152,14560000000000,331554963142796150000000,1936936039788471000000000000000000000,0,0,0
153,14590000000000,328836385367698900000000,1939094098099855500000000000000000000,0,0,0
154,14620000000000,326145614213354460000000,1941216983398294000000000000000000000,0,0,0
155,14650000000000,323482309077176500000000,1943305339294927000000000000000000000,0,0,0
156,14680000000000,320846134214028300000000,1945359796341835600000000000000000000,0,0,0
157,14710000000000,318236758657214100000000,1947380972322920600000000000000000000,0,0,0
158,14740000000000,315653856140912300000000,1949369472537726700000000000000000000,0,0,0
159,14770000000000,313097105024023160000000,1951325890078398500000000000000000000,0,0,0
160,14800000000000,310566188215402000000000,1953250806099947300000000000000000000,0,0,0
161,14830000000000,308060793100448100000000,1955144790084003700000000000000000000,0,0,0
162,14860000000000,305580611469024000000000,1957008400096225000000000000000000000,0,0,0
163,14890000000000,303125339444679100000000,1958842183037523600000000000000000000,0,0,0
164,14920000000000,300694677415147900000000,1960646674889274600000000000000000000,0,0,0
165,14950000000000,298288329964101650000000,1962422400952663000000000000000000000,0,0,0
166,14980000000000,295906005804125500000000,1964169876082316600000000000000000000,0,0,0
167,15010000000000,293547417710897600000000,1965889604914374800000000000000000000,0,0,0
168,15040000000000,291212282458546930000000,1967582082089137700000000000000000000,0,0,0
169,15070000000000,288900320756165140000000,1969247792468431700000000000000000000,0,0,0
170,15100000000000,286611257185450300000000,1970887211347830500000000000000000000,0,0,0
171,15130000000000,284344820139460500000000,1972500804663860200000000000000000000,0,0,0
172,15160000000000,282100741762454940000000,1974089029196318300000000000000000000,0,0,0
173,15190000000000,279878757890801080000000,1975652332765831200000000000000000000,0,0,0
174,15220000000000,277678607994926180000000,1977191154426771000000000000000000000,0,0,0
175,15250000000000,275500035122295330000000,1978705924655648500000000000000000000,0,0,0
176,15280000000000,273342785841392470000000,1980197065535099500000000000000000000,0,0,0
177,15310000000000,271206610186687200000000,1981664990933573000000000000000000000,0,0,0
178,15340000000000,269091261604566800000000,1983110106680833000000000000000000000,0,0,0
179,15370000000000,266996496900216660000000,1984532810739375400000000000000000000,0,0,0
180,15400000000000,264922076185427600000000,1985933493371867300000000000000000000,0,0,0
181,15430000000000,262867762827314350000000,1987312537304704500000000000000000000,0,0,0
182,15460000000000,260833323397927560000000,1988670317887787000000000000000000000,0,0,0
183,15490000000000,258818527624741960000000,1990007203250606300000000000000000000,0,0,0
184,15520000000000,256823148342000900000000,1991323554454737000000000000000000000,0,0,0
185,15550000000000,254846961442906400000000,1992619725642820000000000000000000000,0,0,0
186,15580000000000,252889745832633600000000,1993896064184129000000000000000000000,0,0,0
187,15610000000000,250951283382155600000000,1995152910816800500000000000000000000,0,0,0
188,15640000000000,249031358882863440000000,1996390599786811400000000000000000000,0,0,0
189,15670000000000,247129760001966300000000,1997609458983788500000000000000000000,0,0,0
190,15700000000000,245246277238655400000000,1998809810073720000000000000000000000,0,0,0
191,15730000000000,243380703881019140000000,1999991968628653700000000000000000000,0,0,0
192,15760000000000,241532835963693120000000,2001156244253450900000000000000000000,0,0,0
193,15790000000000,239702472226233920000000,2002302940709668000000000000000000000,0,0,0
194,15820000000000,237889414072199850000000,2003432356036641000000000000000000000,0,0,0
195,15850000000000,236093465528927350000000,2004544782669835000000000000000000000,0,0,0
196,15880000000000,234314433207989250000000,2005640507556530400000000000000000000,0,0,0
197,15910000000000,232552126266322400000000,2006719812268907500000000000000000000,0,0,0
198,15940000000000,230806356368011440000000,2007782973114594000000000000000000000,0,0,0
199,15970000000000,229076937646716960000000,2008830261244738000000000000000000000,0,0,0
200,16000000000000,227363686668736800000000,2009861942759663000000000000000000000,0,0,0
201,16030000000000,225666422396686130000000,2010878278812168800000000000000000000,0,0,0
202,16060000000000,223984966153788140000000,2011879525708528700000000000000000000,0,0,0
203,16090000000000,222319141588760330000000,2012865935007244000000000000000000000,0,0,0
204,16120000000000,220668774641289640000000,2013837753615605700000000000000000000,0,0,0
205,16150000000000,219033693508081600000000,2014795223884119300000000000000000000,0,0,0
206,16180000000000,217413728609473900000000,2015738583698841300000000000000000000,0,0,0
207,16210000000000,215808712556606920000000,2016668066571678300000000000000000000,0,0,0
208,16240000000000,214218480119135730000000,2017583901728697000000000000000000000,0,0,0
209,16270000000000,212642868193478400000000,2018486314196495200000000000000000000,0,0,0
210,16300000000000,211081715771588280000000,2019375524886672600000000000000000000,0,0,0
211,16330000000000,209534863910240430000000,2020251750678457000000000000000000000,0,0,0
212,16360000000000,208002155700824760000000,2021115204499520200000000000000000000,0,0,0
213,16390000000000,206483436239634340000000,2021966095405030400000000000000000000,0,0,0
214,16420000000000,204978552598641900000000,2022804628654985000000000000000000000,0,0,0
215,16450000000000,203487353796753550000000,2023631005789858500000000000000000000,0,0,0
216,16480000000000,202009690771533530000000,2024445424704611400000000000000000000,0,0,0
217,16510000000000,200545416351389030000000,2025248079721093000000000000000000000,0,0,0
218,16540000000000,199094385228207520000000,2026039161658880000000000000000000000,0,0,0
219,16570000000000,197656453930440700000000,2026818857904585200000000000000000000,0,0,0
220,16600000000000,196231480796622900000000,2027587352479672600000000000000000000,0,0,0
221,16630000000000,194819325949318830000000,2028344826106814000000000000000000000,0,0,0
222,16660000000000,193419851269493900000000,2029091456274820500000000000000000000,0,0,0
