time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
74,12220000000000,816558709813888700000000,1854501752101609000000000000000000000,0,0,0
75,12250000000000,810574182907997200000000,1867614357082335000000000000000000000,0,0,0
76,12280000000000,804647993910878000000000,1880535927825034300000000000000000000,0,0,0
77,12310000000000,798779433694956300000000,1893269703441428700000000000000000000,0,0,0
78,12340000000000,792967803451337200000000,1905818860427885300000000000000000000,0,0,0
79,12370000000000,787212414515057000000000,1918186514023852700000000000000000000,0,0,0
80,12400000000000,781512588193704100000000,1930375719537629000000000000000000000,0,0,0
81,12430000000000,775867655599348100000000,1942389473640326600000000000000000000,0,0,0
82,12460000000000,770276957483688500000000,1954230715628868000000000000000000000,0,0,0
83,12490000000000,764739844076373100000000,1965902328658827700000000000000000000,0,0,0
84,12520000000000,759255674926402200000000,1977407140947910000000000000000000000,0,0,0
85,12550000000000,753823818746560600000000,1988747926950830300000000000000000000,0,0,0
86,12580000000000,748443653260810300000000,1999927408506344000000000000000000000,0,0,0
87,12610000000000,743114565054580000000000,2010948255957151600000000000000000000,0,0,0
88,12640000000000,737835949427892800000000,2021813089243377400000000000000000000,0,0,0
89,12670000000000,732607210251265000000000,2032524478970314000000000000000000000,0,0,0
90,12700000000000,727427759824326600000000,2043084947451090000000000000000000000,0,0,0
91,12730000000000,722297018737097500000000,2053496969724911400000000000000000000,0,0,0
92,12760000000000,717214415733868400000000,2063762974551505400000000000000000000,0,0,0
93,12790000000000,712179387579630000000000,2073885345382371500000000000000000000,0,0,0
94,12820000000000,707191378928994400000000,2083866421309441000000000000000000000,0,0,0
95,12850000000000,702249842197563700000000,2093708497991714400000000000000000000,0,0,0
96,12880000000000,697354237435684600000000,2103413828560445500000000000000000000,0,0,0
97,12910000000000,692504032204548500000000,2112984624503408200000000000000000000,0,0,0
98,12940000000000,687698701454582300000000,2122423056528784000000000000000000000,0,0,0
99,12970000000000,682937727406083900000000,2131731255409183400000000000000000000,0,0,0
100,13000000000000,678220599432059000000000,2140911312806299000000000000000000000,0,0,0
101,13030000000000,673546813943206400000000,2149965282076684800000000000000000000,0,0,0
102,13060000000000,668915874275016300000000,2158895179059129600000000000000000000,0,0,0
103,13090000000000,664327290576932100000000,2167702982844089600000000000000000000,0,0,0
104,13120000000000,659780579703535400000000,2176390636525626600000000000000000000,0,0,0
105,13150000000000,655275265107710400000000,2184960047936290800000000000000000000,0,0,0
106,13180000000000,650810876735754400000000,2193413090365370500000000000000000000,0,0,0
107,13210000000000,646386950924382000000000,2201751603260923200000000000000000000,0,0,0
108,13240000000000,642003030299600600000000,2209977392915989000000000000000000000,0,0,0
109,13270000000000,637658663677403400000000,2218092233139379000000000000000000000,0,0,0
110,13300000000000,633353405966255400000000,2226097865911417000000000000000000000,0,0,0
111,13330000000000,629086818071328200000000,2233996002025008000000000000000000000,0,0,0
112,13360000000000,624858466800451500000000,2241788321712391000000000000000000000,0,0,0
113,13390000000000,620667924771749000000000,2249476475257927700000000000000000000,0,0,0
114,13420000000000,616514770322919500000000,2257062083597270000000000000000000000,0,0,0
115,13450000000000,612398587422133800000000,2264546738903236200000000000000000000,0,0,0
116,13480000000000,608318965580517500000000,2271932005158723700000000000000000000,0,0,0
117,13510000000000,604275499766178870000000,2279219418716966000000000000000000000,0,0,0
118,13540000000000,600267790319764000000000,2286410488849448800000000000000000000,0,0,0
119,13570000000000,596295442871497000000000,2293506698281777700000000000000000000,0,0,0
120,13600000000000,592358068259684850000000,2300509503717791000000000000000000000,0,0,0
121,13630000000000,588455282450650300000000,2307420336352200000000000000000000000,0,0,0
122,13660000000000,584586706460071800000000,2314240602372033300000000000000000000,0,0,0
123,13690000000000,580751966275696940000000,2320971683447150600000000000000000000,0,0,0
124,13720000000000,576950692781407200000000,2327614937210091200000000000000000000,0,0,0
125,13750000000000,573182521682602200000000,2334171697725509600000000000000000000,0,0,0
126,13780000000000,569447093432883150000000,2340643275949447400000000000000000000,0,0,0
127,13810000000000,565744053162007660000000,2347030960178681000000000000000000000,0,0,0
128,13840000000000,562073050605089400000000,2353336016490382600000000000000000000,0,0,0
129,13870000000000,558433740033020740000000,2359559689172323500000000000000000000,0,0,0
130,13900000000000,554825780184096600000000,2365703201143840700000000000000000000,0,0,0
131,13930000000000,551248834196809860000000,2371767754367788400000000000000000000,0,0,0
132,13960000000000,547702569543802770000000,2377754530253683000000000000000000000,0,0,0
133,13990000000000,544186657966946900000000,2383664690052248700000000000000000000,0,0,0
134,14020000000000,540700775413533950000000,2389499375241567000000000000000000000,0,0,0
135,14050000000000,537244601973552800000000,2395259707905024800000000000000000000,0,0,0
136,14080000000000,533817821818033400000000,2400946791101252000000000000000000000,0,0,0
137,14110000000000,530420123138438800000000,2406561709226234800000000000000000000,0,0,0
138,14140000000000,527051198087081700000000,2412105528367788800000000000000000000,0,0,0
139,14170000000000,523710742718548440000000,2417579296652564600000000000000000000,0,0,0
140,14200000000000,520398456932112060000000,2422984044585764000000000000000000000,0,0,0
141,14230000000000,517114044415114260000000,2428320785383729000000000000000000000,0,0,0
142,14260000000000,513857212587296400000000,2433590515299571800000000000000000000,0,0,0
143,14290000000000,510627672546066140000000,2438794213942005000000000000000000000,0,0,0
144,14320000000000,507425139012677540000000,2443932844587527000000000000000000000,0,0,0
145,14350000000000,504249330279310800000000,2449007354486113500000000000000000000,0,0,0
146,14380000000000,501099968157031560000000,2454018675160567200000000000000000000,0,0,0
147,14410000000000,497976777924618100000000,2458967722699666300000000000000000000,0,0,0
148,14440000000000,494879488278233200000000,2463855398045254500000000000000000000,0,0,0
149,14470000000000,491807831281932900000000,2468682587273409000000000000000000000,0,0,0
150,14500000000000,488761542318990950000000,2473450161869823700000000000000000000,0,0,0
151,14530000000000,485740360044024900000000,2478158978999532200000000000000000000,0,0,0
152,14560000000000,482744026335911140000000,2482809881771105000000000000000000000,0,0,0
153,14590000000000,479772286251472700000000,2487403699495441400000000000000000000,0,0,0
154,14620000000000,476824887979924200000000,2491941247939277000000000000000000000,0,0,0
155,14650000000000,473901582798063600000000,2496423329573528000000000000000000000,0,0,0
156,14680000000000,471002125026193500000000,2500850733816585300000000000000000000,0,0,0
157,14710000000000,468126271984761900000000,2505224237272672300000000000000000000,0,0,0
158,14740000000000,465273783951704730000000,2509544603965376200000000000000000000,0,0,0
159,14770000000000,462444424120482240000000,2513812585566460400000000000000000000,0,0,0
160,14800000000000,459637958558795050000000,2518028921620061000000000000000000000,0,0,0
161,14830000000000,456854156167964500000000,2522194339762372800000000000000000000,0,0,0
162,14860000000000,454092788642969700000000,2526309555936920000000000000000000000,0,0,0
163,14890000000000,451353630433127160000000,2530375274605514200000000000000000000,0,0,0
164,14920000000000,448636458703400700000000,2534392188954990800000000000000000000,0,0,0
165,14950000000000,445941053296331940000000,2538360981099816000000000000000000000,0,0,0
166,14980000000000,443267196694579960000000,2542282322280659200000000000000000000,0,0,0
167,15010000000000,440614673984057300000000,2546156873059015400000000000000000000,0,0,0
168,15040000000000,437983272817654600000000,2549985283507964000000000000000000000,0,0,0
169,15070000000000,435372783379540850000000,2553768193399149300000000000000000000,0,0,0
170,15100000000000,432782998350029900000000,2557506232386066600000000000000000000,0,0,0
171,15130000000000,430213712871003750000000,2561200020183729000000000000000000000,0,0,0
172,15160000000000,427664724511881700000000,2564850166744798000000000000000000000,0,0,0
173,15190000000000,425135833236126900000000,2568457272432253400000000000000000000,0,0,0
174,15220000000000,422626841368277700000000,2572021928188673800000000000000000000,0,0,0
175,15250000000000,420137553561500400000000,2575544715702207000000000000000000000,0,0,0
176,15280000000000,417667776765647750000000,2579026207569294800000000000000000000,0,0,0
177,15310000000000,415217320195818100000000,2582466967454226500000000000000000000,0,0,0
178,15340000000000,412785995301405460000000,2585867550245585700000000000000000000,0,0,0
179,15370000000000,410373615735633040000000,2589228502209660600000000000000000000,0,0,0
180,15400000000000,407979997325558500000000,2592550361140878200000000000000000000,0,0,0
181,15430000000000,405604958042546000000000,2595833656509329200000000000000000000,0,0,0
182,15460000000000,403248317973196100000000,2599078909605443700000000000000000000,0,0,0
183,15490000000000,400909899290725300000000,2602286633681878000000000000000000000,0,0,0
184,15520000000000,398589526226785400000000,2605457334092672300000000000000000000,0,0,0
185,15550000000000,396287025043719500000000,2608591508429737000000000000000000000,0,0,0
186,15580000000000,394002224007243200000000,2611689646656723200000000000000000000,0,0,0
187,15610000000000,391734953359544800000000,2614752231240332300000000000000000000,0,0,0
188,15640000000000,389485045292798450000000,2617779737279120200000000000000000000,0,0,0
189,15670000000000,387252333923081300000000,2620772632629846000000000000000000000,0,0,0
190,15700000000000,385036655264689000000000,2623731378031418200000000000000000000,0,0,0
191,15730000000000,382837847204843140000000,2626656427226489000000000000000000000,0,0,0
192,15760000000000,380655749478780350000000,2629548227080745000000000000000000000,0,0,0
193,15790000000000,378490203645223360000000,2632407217699940300000000000000000000,0,0,0
194,15820000000000,376341053062220200000000,2635233832544723500000000000000000000,0,0,0
195,15850000000000,374208142863349900000000,2638028498543299500000000000000000000,0,0,0
196,15880000000000,372091319934287000000000,2640791636201974700000000000000000000,0,0,0
197,15910000000000,369990432889718900000000,2643523659713625400000000000000000000,0,0,0
198,15940000000000,367905332050610200000000,2646224977064136400000000000000000000,0,0,0
199,15970000000000,365835869421807000000000,2648895990136848700000000000000000000,0,0,0
200,16000000000000,363781898669978900000000,2651537094815057000000000000000000000,0,0,0
201,16030000000000,361743275101887900000000,2654148681082600600000000000000000000,0,0,0
202,16060000000000,359719855642983660000000,2656731133122580700000000000000000000,0,0,0
203,16090000000000,357711498816315340000000,2659284829414248000000000000000000000,0,0,0
204,16120000000000,355718064721758900000000,2661810142828095000000000000000000000,0,0,0
205,16150000000000,353739415015551700000000,2664307440719189300000000000000000000,0,0,0
206,16180000000000,351775412890128800000000,2666777085018786000000000000000000000,0,0,0
207,16210000000000,349825923054259800000000,2669219432324249500000000000000000000,0,0,0
208,16240000000000,347890811713476400000000,2671634833987327600000000000000000000,0,0,0
209,16270000000000,345969946550789400000000,2674023636200797500000000000000000000,0,0,0
210,16300000000000,344063196707688870000000,2676386180083530000000000000000000000,0,0,0
211,16330000000000,342170432765422600000000,2678722801763998000000000000000000000,0,0,0
212,16360000000000,340291526726549300000000,2681033832462258000000000000000000000,0,0,0
213,16390000000000,338426351996760700000000,2683319598570439600000000000000000000,0,0,0
214,16420000000000,336574783366970000000000,2685580421731770000000000000000000000,0,0,0
215,16450000000000,334736696995659600000000,2687816618918166000000000000000000000,0,0,0
216,16480000000000,332911970391487330000000,2690028502506419400000000000000000000,0,0,0
217,16510000000000,331100482396143200000000,2692216380353000000000000000000000000,0,0,0
218,16540000000000,329302113167455200000000,2694380555867514700000000000000000000,0,0,0
219,16570000000000,327516744162740260000000,2696521328084839000000000000000000000,0,0,0
220,16600000000000,325744258122393900000000,2698638991735950400000000000000000000,0,0,0
221,16630000000000,323984539053717250000000,2700733837317490400000000000000000000,0,0,0
222,16660000000000,322237472214976900000000,2702806151160081000000000000000000000,0,0,0
223,16690000000000,320502944099692400000000,2704856215495417600000000000000000000,0,0,0
224,16720000000000,318780842421149600000000,2706884308522160600000000000000000000,0,0,0
225,16750000000000,317071056097136050000000,2708890704470657600000000000000000000,0,0,0
226,16780000000000,315373475234893440000000,2710875673666511000000000000000000000,0,0,0
227,16810000000000,313687991116284440000000,2712839482593013600000000000000000000,0,0,0
228,16840000000000,312014496183171700000000,2714782393952482000000000000000000000,0,0,0
229,16870000000000,310352884023002800000000,2716704666726500500000000000000000000,0,0,0
230,16900000000000,308703049354601260000000,2718606556235100500000000000000000000,0,0,0
231,16930000000000,307064888014157160000000,2720488314194898000000000000000000000,0,0,0
232,16960000000000,305438296941417200000000,2722350188776206000000000000000000000,0,0,0
233,16990000000000,303823174166067250000000,2724192424659141000000000000000000000,0,0,0
234,17020000000000,302219418794309200000000,2726015263088749000000000000000000000,0,0,0
235,17050000000000,300626930995624900000000,2727818941929163500000000000000000000,0,0,0
236,17080000000000,299045611989725060000000,2729603695716814000000000000000000000,0,0,0
237,17110000000000,297475364033683400000000,2731369755712711700000000000000000000,0,0,0
238,17140000000000,295916090409247700000000,2733117349953817000000000000000000000,0,0,0
239,17170000000000,294367695410330100000000,2734846703303519000000000000000000000,0,0,0
240,17200000000000,292830084330670900000000,2736558037501237000000000000000000000,0,0,0
241,17230000000000,291303163451672960000000,2738251571211158000000000000000000000,0,0,0
242,17260000000000,289786840030407080000000,2739927520070138400000000000000000000,0,0,0
243,17290000000000,288281022287781300000000,2741586096734771000000000000000000000,0,0,0
244,17320000000000,286785619396875540000000,2743227510927644000000000000000000000,0,0,0
245,17350000000000,285300541471436570000000,2744851969482802400000000000000000000,0,0,0
246,17380000000000,283825699554531280000000,2746459676390430000000000000000000000,0,0,0
247,17410000000000,282361005607357230000000,2748050832840762000000000000000000000,0,0,0
248,17440000000000,280906372498205700000000,2749625637267246000000000000000000000,0,0,0
249,17470000000000,279461713991576680000000,2751184285388966000000000000000000000,0,0,0
250,17500000000000,278026944737442930000000,2752726970252343000000000000000000000,0,0,0
251,17530000000000,276601980260660660000000,2754253882272124700000000000000000000,0,0,0
252,17560000000000,275186736950524430000000,2755765209271673000000000000000000000,0,0,0
253,17590000000000,273781132050465080000000,2757261136522576000000000000000000000,0,0,0
254,17620000000000,272385083647886460000000,2758741846783582000000000000000000000,0,0,0
255,17650000000000,270998510664141970000000,2760207520338876000000000000000000000,0,0,0
256,17680000000000,269621332844644830000000,2761658335035710700000000000000000000,0,0,0
257,17710000000000,268253470749113770000000,2763094466321401000000000000000000000,0,0,0
258,17740000000000,266894845741949750000000,2764516087279699000000000000000000000,0,0,0
259,17770000000000,265545379982742650000000,2765923368666550500000000000000000000,0,0,0
260,17800000000000,264204996416905140000000,2767316478945260500000000000000000000,0,0,0
261,17830000000000,262873618766433640000000,2768695584321061600000000000000000000,0,0,0
262,17860000000000,261551171520792130000000,2770060848775109000000000000000000000,0,0,0
263,17890000000000,260237579927918500000000,2771412434097907000000000000000000000,0,0,0
264,17920000000000,258932769985350800000000,2772750499922174300000000000000000000,0,0,0
265,17950000000000,257636668431472670000000,2774075203755169600000000000000000000,0,0,0
266,17980000000000,256349202736874600000000,2775386701010472000000000000000000000,0,0,0
267,18010000000000,255070301095830850000000,2776685145039243000000000000000000000,0,0,0
268,18040000000000,253799892417888860000000,2777970687160961300000000000000000000,0,0,0
269,18070000000000,252537906319570650000000,2779243476693656000000000000000000000,0,0,0
270,18100000000000,251284273116183940000000,2780503660983640600000000000000000000,0,0,0
271,18130000000000,250038923813741600000000,2781751385434752400000000000000000000,0,0,0
272,18160000000000,248801790100987580000000,2782986793537116000000000000000000000,0,0,0
273,18190000000000,247572804341528130000000,2784210026895431300000000000000000000,0,0,0
274,18220000000000,246351899566065500000000,2785421225256799000000000000000000000,0,0,0
275,18250000000000,245139009464735270000000,2786620526538090000000000000000000000,0,0,0
276,18280000000000,243934068379543180000000,2787808066852865000000000000000000000,0,0,0
277,18310000000000,242737011296900540000000,2788983980537864000000000000000000000,0,0,0
278,18340000000000,241547773840257460000000,2790148400179049000000000000000000000,0,0,0
279,18370000000000,240366292262833300000000,2791301456637240000000000000000000000,0,0,0
280,18400000000000,239192503440439760000000,2792443279073320700000000000000000000,0,0,0
281,18430000000000,238026344864398950000000,2793573994973044000000000000000000000,0,0,0
282,18460000000000,236867754634552630000000,2794693730171432700000000000000000000,0,0,0
283,18490000000000,235716671452361850000000,2795802608876787000000000000000000000,0,0,0
284,18520000000000,234573034614096650000000,2796900753694305000000000000000000000,0,0,0
285,18550000000000,233436784004113240000000,2797988285649320000000000000000000000,0,0,0
286,18580000000000,232307860088217400000000,2799065324210167000000000000000000000,0,0,0
287,18610000000000,231186203907114330000000,2800131987310683700000000000000000000,0,0,0
288,18640000000000,230071757069942100000000,2801188391372344000000000000000000000,0,0,0
289,18670000000000,228964461747888300000000,2802234651326045500000000000000000000,0,0,0
290,18700000000000,227864260667887770000000,2803270880633542500000000000000000000,0,0,0
291,18730000000000,226771097106402540000000,2804297191308540400000000000000000000,0,0,0
292,18760000000000,225684914883279480000000,2805313693937453000000000000000000000,0,0,0
293,18790000000000,224605658355687560000000,2806320497699831000000000000000000000,0,0,0
294,18820000000000,223533272412131250000000,2807317710388464600000000000000000000,0,0,0
295,18850000000000,222467702466541220000000,2808305438429167000000000000000000000,0,0,0
296,18880000000000,221408894452438520000000,2809283786900247000000000000000000000,0,0,0
297,18910000000000,220356794817174470000000,2810252859551672000000000000000000000,0,0,0
298,18940000000000,219311350516242100000000,2811212758823930000000000000000000000,0,0,0
299,18970000000000,218272509007659750000000,2812163585866593000000000000000000000,0,0,0
300,19000000000000,217240218246425600000000,2813105440556590700000000000000000000,0,0,0
301,19030000000000,216214426679042700000000,2814038421516193500000000000000000000,0,0,0
302,19060000000000,215195083238110940000000,2814962626130718000000000000000000000,0,0,0
303,19090000000000,214182137336989520000000,2815878150565952000000000000000000000,0,0,0
304,19120000000000,213175538864523770000000,2816785089785310000000000000000000000,0,0,0
