time(s),avg_energy(J/m^3),avg_photon(m^-3)
0,99990,10000000000
0.1,99980.0010000091,10000000000
0.2,99970.00299990173,10000000000
0.30000000000000004,99960.00599959564,10000000000
0.4,99950.00999900616,10000000000
0.5,99940.0149979915,10000000000
0.6000000000000001,99930.02099648937,10000000000
0.7000000000000001,99920.0279943949,10000000000
0.8,99910.03599158763,10000000000
0.9,99900.04498800565,10000000000
1,99890.05498349729,10000000000
1.1,99880.06597801269,10000000000
1.2000000000000002,99870.07797142028,10000000000
1.3,99860.09096360396,10000000000
1.4000000000000001,99850.1049545113,10000000000
1.5,99840.11994400881,10000000000
1.6,99830.13593200827,10000000000
1.7000000000000002,99820.15291844809,10000000000
1.8,99810.17090312486,10000000000
1.9000000000000001,99800.18988605555,10000000000
2,99790.20986704066,10000000000
2.1,99780.23084605695,10000000000
2.2,99770.25282299456,10000000000
2.3000000000000003,99760.27579771705,10000000000
2.4000000000000004,99750.29977011881,10000000000
2.5,99740.32474016328,10000000000
2.6,99730.35070765973,10000000000
2.7,99720.37767259129,10000000000
2.8000000000000003,99710.4056348476,10000000000
2.9000000000000004,99700.43459427358,10000000000
3,99690.46455082076,10000000000
3.1,99680.49550437124,10000000000
3.2,99670.52745482045,10000000000
3.3000000000000003,99660.56040204564,10000000000
3.4000000000000004,99650.59434603703,10000000000
3.5,99640.62928660672,10000000000
3.6,99630.66522367767,10000000000
3.7,99620.70215713966,10000000000
3.8000000000000003,99610.74008691503,10000000000
3.9000000000000004,99600.77901291796,10000000000
4,99590.81893502713,10000000000
4.1000000000000005,99580.85985311832,10000000000
4.2,99570.90176713462,10000000000
4.3,99560.94467696322,10000000000
4.4,99550.98858249171,10000000000
4.5,99541.03348362505,10000000000
4.6000000000000005,99531.07938027571,10000000000
4.7,99521.12627233019,10000000000
4.800000000000001,99511.1741597274,10000000000
4.9,99501.22304228797,10000000000
5,99491.27292000492,10000000000
5.1000000000000005,99481.32379269792,10000000000
5.2,99471.3756603098,10000000000
5.300000000000001,99461.42852274564,10000000000
5.4,99451.48237991273,10000000000
5.5,99441.53723168121,10000000000
5.6000000000000005,99431.59307793589,10000000000
5.7,99421.64991864336,10000000000
5.800000000000001,99411.70775365592,10000000000
5.9,99401.76658285619,10000000000
6,99391.82640623052,10000000000
6.1000000000000005,99381.88722359129,10000000000
