time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction
0,9995295.494936,10000000000,0.009999999989993177,0.8600000000003262,1
1,9990593.251800172,10000000000,0.009999999980003497,0.8600000000003262,1
2,9985893.269464282,10000000000,0.009999999970002924,0.8600000000003262,1
3,9981195.546815522,10000000000,0.009999999959999983,0.8600000000003262,1
4,9976500.08276355,10000000000,0.009999999949998988,0.8600000000003262,1
5,9971806.876184221,10000000000,0.009999999939999204,0.8600000000003262,1
6,9967115.925964745,10000000000,0.009999999929996105,0.8600000000003262,1
7,9962427.231016232,10000000000,0.009999999920005793,0.8600000000003262,1
8,9957740.790214483,10000000000,0.009999999910002695,0.8600000000003262,1
9,9953056.602447877,10000000000,0.009999999900002915,0.8600000000003262,1
10,9948374.666626366,10000000000,0.009999999889998975,0.8600000000003262,1
11,9943694.981634757,10000000000,0.009999999879996033,0.8600000000003262,1
12,9939017.54638049,10000000000,0.009999999869995458,0.8600000000003262,1
13,9934342.359739715,10000000000,0.00999999986000578,0.8600000000003262,1
14,9929669.42061752,10000000000,0.009999999850002682,0.8600000000003262,1
15,9924998.727905244,10000000000,0.009999999840002265,0.8600000000003262,1
16,9920330.280511217,10000000000,0.009999999829999166,0.8600000000003262,1
17,9915664.077308852,10000000000,0.00999999981999896,0.8600000000003262,1
18,9911000.11722574,10000000000,0.009999999809998389,0.8600000000003262,1
19,9906338.399146855,10000000000,0.009999999799995446,0.8600000000003262,1
20,9901678.921972806,10000000000,0.009999999790004979,0.8600000000003262,1
21,9897021.684601227,10000000000,0.009999999780005195,0.8600000000003262,1
22,9892366.685937593,10000000000,0.009999999770002094,0.8600000000003262,1
23,9887713.92486619,10000000000,0.009999999759998313,0.8600000000003262,1
24,9883063.400305342,10000000000,0.009999999749995213,0.8600000000003262,1
25,9878415.111151407,10000000000,0.00999999973999543,0.8600000000003262,1
26,9873769.056310855,10000000000,0.00999999973000496,0.8600000000003262,1
27,9869125.23468055,10000000000,0.00999999972000202,0.8600000000003262,1
28,9864483.645170614,10000000000,0.009999999710001446,0.8600000000003262,1
29,9859844.286676098,10000000000,0.00999999970000124,0.8600000000003262,1
30,9855207.15810554,10000000000,0.009999999689998141,0.8600000000003262,1
31,9850572.258361809,10000000000,0.009999999679997726,0.8600000000003262,1
32,9845939.586358732,10000000000,0.009999999669994626,0.8600000000003262,1
33,9841309.140991235,10000000000,0.009999999660004947,0.8600000000003262,1
34,9836680.92117356,10000000000,0.009999999650004372,0.8600000000003262,1
35,9832054.92581325,10000000000,0.009999999640001433,0.8600000000003262,1
36,9827431.153814917,10000000000,0.009999999629997492,0.8600000000003262,1
37,9822809.604095336,10000000000,0.009999999619997708,0.8600000000003262,1
38,9818190.275545074,10000000000,0.009999999609994608,0.8600000000003262,1
39,9813573.167091161,10000000000,0.0099999996000043,0.8600000000003262,1
40,9808958.277646946,10000000000,0.0099999995900012,0.8600000000003262,1
41,9804345.606103184,10000000000,0.009999999580001416,0.8600000000003262,1
42,9799735.151373528,10000000000,0.00999999957000042,0.8600000000003262,1
43,9795126.912385898,10000000000,0.009999999559997478,0.8600000000003262,1
44,9790520.88805397,10000000000,0.009999999549996906,0.8600000000003262,1
45,9785917.07726899,10000000000,0.009999999540007227,0.8600000000003262,1
46,9781315.478950346,10000000000,0.009999999530004128,0.8600000000003262,1
47,9776716.09203459,10000000000,0.009999999520003713,0.8600000000003262,1
48,9772118.91540528,10000000000,0.009999999510000614,0.8600000000003262,1
49,9767523.947997924,10000000000,0.009999999499997463,0.8600000000003262,1
50,9762931.188720236,10000000000,0.009999999489996888,0.8600000000003262,1
51,9758340.636481069,10000000000,0.009999999479993948,0.8600000000003262,1
52,9753752.290220575,10000000000,0.009999999470003478,0.8600000000003262,1
53,9749166.148832617,10000000000,0.009999999460003696,0.8600000000003262,1
54,9744582.21124118,10000000000,0.009999999450000595,0.8600000000003262,1
55,9740000.47637145,10000000000,0.009999999439999758,0.8600000000003262,1
56,9735420.94312171,10000000000,0.009999999429996659,0.8600000000003262,1
57,9730843.61044302,10000000000,0.009999999419996875,0.8600000000003262,1
58,9726268.477233512,10000000000,0.009999999410006408,0.8600000000003262,1
59,9721695.542418964,10000000000,0.009999999400003465,0.8600000000003262,1
60,9717124.804909116,10000000000,0.009999999390002894,0.8600000000003262,1
61,9712556.263648862,10000000000,0.009999999379999742,0.8600000000003262,1
62,9707989.917543504,10000000000,0.009999999369996642,0.8600000000003262,1
63,9703425.765531471,10000000000,0.009999999359996226,0.8600000000003262,1
64,9698863.806512149,10000000000,0.009999999349993125,0.8600000000003262,1
65,9694304.039422296,10000000000,0.00999999934000345,0.8600000000003262,1
66,9689746.463187791,10000000000,0.009999999330002875,0.8600000000003262,1
67,9685191.07672116,10000000000,0.009999999319999934,0.8600000000003262,1
68,9680637.878965663,10000000000,0.009999999309998939,0.8600000000003262,1
69,9676086.868834948,10000000000,0.009999999299999155,0.8600000000003262,1
70,9671538.04525745,10000000000,0.009999999289996056,0.8600000000003262,1
71,9666991.407164013,10000000000,0.009999999280005745,0.8600000000003262,1
72,9662446.953468706,10000000000,0.009999999270002646,0.8600000000003262,1
73,9657904.683129553,10000000000,0.009999999260002862,0.8600000000003262,1
74,9653364.595037898,10000000000,0.009999999249998923,0.8600000000003262,1
75,9648826.68814729,10000000000,0.00999999923999598,0.8600000000003262,1
76,9644290.961387713,10000000000,0.009999999229995409,0.8600000000003262,1
77,9639757.413667312,10000000000,0.009999999220005728,0.8600000000003262,1
